branch,n_cases,vx_min,vx_med,vx_iqr,vx_max,vy_min,vy_med,vy_iqr,vy_max,vz_min,vz_med,vz_iqr,vz_max,voxmm3_min,voxmm3_med,voxmm3_iqr,voxmm3_max,D_min,D_med,D_iqr,D_max,ct_size_mb_min,ct_size_mb_med,ct_size_mb_iqr,ct_size_mb_max,mask_size_mb_min,mask_size_mb_med,mask_size_mb_iqr,mask_size_mb_max,shape_match_rate,spacing_match_rate,mask_empty_rate,fg_vox_min,fg_vox_med,fg_vox_iqr,fg_vox_max,fg_mm3_min,fg_mm3_med,fg_mm3_iqr,fg_mm3_max,hu_min_samp_med,hu_max_samp_med,hu_p0_5_samp_med,hu_p99_5_samp_med,vz_bin_<1,vz_bin_1_2,vz_bin_2_4,vz_bin_4_6p5,vz_bin_>6p5
normal,640,0.357421875,0.4882810115814209,0.05078125,0.609375,0.357421875,0.4882810115814209,0.05078125,0.609375,4.002460956573486,5.0,0.0,5.392516613006592,0.6387519836425781,1.0986328125,0.23608077550393258,1.856689453125,28.0,33.0,3.0,47.0,5.325292587280273,7.126194477081299,0.8524086475372314,10.207099914550781,0.0069255828857421875,0.008148193359375,0.0007424354553222656,0.011534690856933594,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1023.0,1687.5,-1012.0,1222.001953125,0,0,0,640,0
segmented,942,0.314453125,0.4882810115814209,0.01953125,0.9765620231628418,0.314453125,0.4882810115814209,0.019531242549419403,0.9765620231628418,4.016706943511963,5.0,0.19728398323059082,6.5181884765625,0.4944038391113281,1.1920931797249068,0.19661913790771468,5.013924343380301,5.0,32.0,5.0,58.0,1.3354740142822266,7.144698143005371,1.6682250499725342,24.027003288269043,0.003941535949707031,0.01830434799194336,0.05091238021850586,0.0996713638305664,1.0,1.0,0.049893842887473464,0.0,6906.5,17422.0,437059.0,0.0,8221.286213150206,19548.217575995386,537821.1740701313,-2048.0,1927.0,-2048.0,1331.0,0,0,0,940,2
