branch,n_cases,vx_min,vx_med,vx_iqr,vx_max,vy_min,vy_med,vy_iqr,vy_max,vz_min,vz_med,vz_iqr,vz_max,voxmm3_min,voxmm3_med,voxmm3_iqr,voxmm3_max,D_min,D_med,D_iqr,D_max,ct_size_mb_min,ct_size_mb_med,ct_size_mb_iqr,ct_size_mb_max,mask_size_mb_min,mask_size_mb_med,mask_size_mb_iqr,mask_size_mb_max,shape_match_rate,spacing_match_rate,mask_empty_rate,fg_vox_min,fg_vox_med,fg_vox_iqr,fg_vox_max,fg_mm3_min,fg_mm3_med,fg_mm3_iqr,fg_mm3_max,hu_min_samp_med,hu_max_samp_med,hu_p0_5_samp_med,hu_p99_5_samp_med,vz_bin_<1,vz_bin_1_2,vz_bin_2_4,vz_bin_4_6p5,vz_bin_>6p5
normal,640,0.357421875,0.4882810115814209,0.05078125,0.609375,0.357421875,0.4882810115814209,0.05078125,0.609375,3.723325490951538,5.0,0.0,5.392516613006592,0.6387519836425781,1.039943782534373,0.2520751953125,1.856689453125,28.0,34.0,4.0,48.0,5.325292587280273,7.198459625244141,0.9421045780181885,10.731342315673828,0.0069255828857421875,0.008385658264160156,0.000980377197265625,0.011823654174804688,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1023.0,1691.0,-1012.0,1222.001953125,0,0,42,598,0
segmented,943,0.314453125,0.4882810115814209,0.01953125,0.9765620231628418,0.314453125,0.4882810115814209,0.019531220197677612,0.9765620231628418,0.5,5.0,0.20004677772521973,6.5181884765625,0.11920917313548784,1.1920928955078125,0.26531365787632,5.013924343380301,24.0,32.0,6.0,352.0,3.1002426147460938,7.149446487426758,1.6526126861572266,78.49019718170166,0.006274223327636719,0.01721477508544922,0.003999233245849609,0.8800630569458008,1.0,1.0,0.041357370095440084,0.0,7469.0,21352.5,2930417.0,0.0,8201.59912109375,19761.450845955504,493415.6493481785,-2048.0,1924.0,-2048.0,1351.01171875,43,0,41,857,2
